Model,Screen Size,Chip,Battery (Video Hours),Frame Material,Water Resistance,ProMotion,Dynamic Island,Action Button,Camera Control,Always-On Display,Neural Engine,GPU,Front Camera,Colors Available
iPhone 17 Pro,6.3″,A19 Pro,33,Titanium,6m / 30min,Yes,Yes,Yes,Yes,Yes,16-core,6-core + Neural Acc.,TrueDepth,"Cosmic Orange, Deep Blue, Silver"
iPhone 17 Pro Max,6.9″,A19 Pro,39,Titanium,6m / 30min,Yes,Yes,Yes,Yes,Yes,16-core,6-core + Neural Acc.,TrueDepth,"Cosmic Orange, Deep Blue, Silver"
iPhone Air,6.5″,A19 Pro,27,Aluminum unibody,6m / 30min,Yes,Yes,Yes,Yes,No,16-core,5-core + Neural Acc.,TrueDepth,"Sky Blue, Light Gold, Cloud White, Space Black, Lavender, Sage"
iPhone 17,6.3″,A19,30,Aluminum,6m / 30min,Yes,Yes,Yes,Yes,No,16-core,5-core + Neural Acc.,TrueDepth,"Mist Blue, White, Black, Soft Pink"
iPhone 17e,6.1″,A19,26,Aluminum,6m / 30min,Yes,Yes,Yes,Yes,No,16-core,4-core + Neural Acc.,TrueDepth,"Soft Pink, White, Black"
iPhone 16 Pro,6.3″,A18 Pro,27,Titanium,6m / 30min,Yes,Yes,Yes,Yes,Yes,16-core,6-core,TrueDepth,"Desert Titanium, Natural Titanium, White Titanium, Black Titanium"
iPhone 16 Pro Max,6.9″,A18 Pro,33,Titanium,6m / 30min,Yes,Yes,Yes,Yes,Yes,16-core,6-core,TrueDepth,"Desert Titanium, Natural Titanium, White Titanium, Black Titanium"
iPhone 16,6.1″,A18,22,Aluminum,6m / 30min,Yes,Yes,Yes,Yes,No,16-core,5-core,TrueDepth,"Ultramarine, Teal, Pink, White, Black"
iPhone 16 Plus,6.7″,A18,27,Aluminum,6m / 30min,Yes,Yes,Yes,Yes,No,16-core,5-core,TrueDepth,"Ultramarine, Teal, Pink, White, Black"
iPhone 16e,6.1″,A18,26,Aluminum,6m / 30min,Yes,Yes,Yes,No,No,16-core,4-core,TrueDepth,"White, Black"
iPhone 15 Pro,6.1″,A17 Pro,23,Titanium,6m / 30min,Yes,Yes,Yes,No,Yes,16-core,6-core,TrueDepth,"Natural Titanium, Blue Titanium, White Titanium, Black Titanium"
iPhone 15 Pro Max,6.7″,A17 Pro,29,Titanium,6m / 30min,Yes,Yes,Yes,No,Yes,16-core,6-core,TrueDepth,"Natural Titanium, Blue Titanium, White Titanium, Black Titanium"
iPhone 15,6.1″,A16 Bionic,20,Aluminum,6m / 30min,No,Yes,No,No,No,16-core,5-core,TrueDepth,"Pink, Yellow, Green, Blue, Black"
iPhone 15 Plus,6.7″,A16 Bionic,26,Aluminum,6m / 30min,No,Yes,No,No,No,16-core,5-core,TrueDepth,"Pink, Yellow, Green, Blue, Black"
iPhone 14 Pro,6.1″,A16 Bionic,23,Stainless steel,6m / 30min,Yes,Yes,No,No,Yes,16-core,5-core,TrueDepth,"Deep Purple, Gold, Silver, Space Black"
iPhone 14 Pro Max,6.7″,A16 Bionic,29,Stainless steel,6m / 30min,Yes,Yes,No,No,Yes,16-core,5-core,TrueDepth,"Deep Purple, Gold, Silver, Space Black"
iPhone 14,6.1″,A15 Bionic,20,Aluminum,6m / 30min,No,No,No,No,No,16-core,5-core,TrueDepth,"Blue, Purple, Yellow, Midnight, Starlight, Product Red"
iPhone 14 Plus,6.7″,A15 Bionic,26,Aluminum,6m / 30min,No,No,No,No,No,16-core,5-core,TrueDepth,"Blue, Purple, Yellow, Midnight, Starlight, Product Red"
